intent,button,entities
affirm,Yes,
deny,No,
bye,Bye!,
greet,"Say ""Hi!"" ",
thank,Thanks!,
react_negative,I'm sad!,
react_positive,I'm happy!,
inform,Inform,
canthelp,You can't help me.,
chitchat/ask_builder,Who built you?,
chitchat/ask_howbuilt,How were you built?,
chitchat/ask_howdoing,How do you feel?,
chitchat/ask_howold,How old are you?,
chitchat/ask_isbot,Are you a bot?,
chitchat/ask_ishuman, Are you a human?,
chitchat/ask_languagesbot,What languages do you speak?,
chitchat/ask_restaurant,Can you recommend a restaurant?,
chitchat/ask_time,What time is it?,
chitchat/ask_weather,How's the weather?,
chitchat/ask_whatismyname,What is your name?,
chitchat/ask_whatisPAYbank,What is PAY bank?,
chitchat/ask_wherefrom,Where are you from?,
chitchat/ask_whoami,Who are you?,
chitchat/ask_whoisit,Who are you?,
chitchat/nicetomeetyou,Nice to meet you.,
chitchat/telljoke,Tell me a joke!,
chitchat/handleinsult,You wanted to insult me 😔.,
out_of_scope/other,Out of scope question.,
out_of_scope/non_english,I'm speaking a non-english language.,
faq/product_description,I want to know more about {product},
faq/product_application,How can I apply for a {product},
faq/required_age,What is the minimum required age to get a {product},
faq/cardlimit,How much is the starting credit?,
faq/points_collect,Can I collect bonus points?,
faq/annualcost,Does the {product} cost?
inform,I want to give you more information,
ask_transfer_charge,What is the transaction cost?,
check_balance,What is my account balance?,
check_earnings,How much money have I earned?,
pay_cc,I want to pay my card!,
search_transactions,I want to search my past transactions!,
transfer_money,I want to transfer money.,
check_recipients,Who can I send money to?,
capabilities,What can you do for me?,
human_handoff,I want to talk to a human.,
restart,Please restart this chat.,
